,total_count,b1_count,b2_count,b3_count,b4_count,b5_count,gender_freq,gender_proximity,tf_idf,deadly_word,deadly_last_5_mention,deadly_last_5density,deadly_last_1_mention,deadly_last_1density,deg_center,between_center,close_center,page_rank
352,144,19,29,31,7,58,1,1,0.011327615291794671,4,11,0.012761020881670533,11,0.013205282112845138,1.0,0.0,1.0,0.0011871833887772
353,55,1,11,27,12,4,1,1,0.005960169278598677,2,19,0.01848249027237354,8,0.017857142857142856,1.0,0.0,1.0,0.0013123331463476746
354,288,119,99,10,40,20,1,1,0.016353167531442444,3,16,0.009417304296645085,0,0.0,1.0,0.0,1.0,0.0010291244573573325
355,309,119,99,10,40,41,1,1,0.015932657509205354,2,22,0.012694748990190421,11,0.013205282112845138,1.0,0.0,1.0,0.0014421176826746108
356,51,1,0,3,6,41,1,1,0.009280308342051204,3,11,0.012528473804100227,11,0.013205282112845138,1.0,0.0,1.0,0.0009524495337433602
357,1,0,0,0,1,0,1,1,0.016218604324326577,0,0,0.0,0,0.0,1.0,0.0,1.0,0.0008274616070156146
358,62,1,3,38,18,2,1,0,0.009002000550042502,2,15,0.015136226034308779,11,0.01896551724137931,1.0,0.0,1.0,0.0009689133621512633
359,3,0,0,3,0,0,1,0,0.003037191821034939,1,4,0.00749063670411985,2,0.004329004329004329,1.0,0.0,1.0,0.0009246160167805977
360,28,0,8,12,5,3,1,1,0.0119876640658066,3,17,0.016831683168316833,11,0.01896551724137931,1.0,0.0,1.0,0.0009623943242490708
361,565,43,137,114,100,171,1,1,0.00856384468790599,1,7,0.012006861063464836,7,0.0125,1.0,0.0,1.0,0.0013815258531504361
362,103,0,3,7,17,76,1,0,0.006926609444989041,5,24,0.011075219197046609,8,0.017857142857142856,1.0,0.0,1.0,0.0014919131245684804
363,191,18,26,45,15,87,1,1,0.012361741100858671,2,22,0.012672811059907835,11,0.013205282112845138,1.0,0.0,1.0,0.0017307106416510956
364,666,62,108,206,144,146,1,0,0.011533229741743343,5,30,0.011177347242921014,1,0.0035587188612099642,1.0,0.0,1.0,0.0009379897265684842
365,1,1,0,0,0,0,1,1,0.04505167867868493,0,0,0.0,0,0.0,1.0,0.0,1.0,0.0009510673506418962
366,749,95,149,229,121,155,1,0,0.008117319267612782,3,22,0.010362694300518135,7,0.01580135440180587,1.0,0.0,1.0,0.0009904231155632777
367,41,6,11,10,11,3,1,1,0.009862664791820215,1,4,0.011299435028248588,4,0.011299435028248588,1.0,0.0,1.0,0.0006325665707315911
368,1,0,1,0,0,0,1,0,0.4054651081081644,0,0,0.0,0,0.0,1.0,0.0,1.0,0.0006046927015341702
369,88,0,26,44,2,16,1,1,0.048780093465886444,2,0,0.0,0,0.0,1.0,0.0,1.0,0.0012824599165545823
370,256,44,43,53,81,35,1,1,0.01922419324703507,2,7,0.010057471264367816,3,0.010135135135135136,1.0,0.0,1.0,0.0011310581341711164
371,63,0,13,4,28,18,1,0,0.011594756124410247,4,17,0.015057573073516387,14,0.018134715025906734,1.0,0.0,1.0,0.0010365052368235329
372,198,4,22,31,76,65,1,1,0.010058049193380821,2,6,0.004893964110929853,3,0.007853403141361256,1.0,0.0,1.0,0.001507618453601524
373,150,15,13,68,9,45,1,0,0.01609231024393117,8,4,0.011799410029498525,3,0.010135135135135136,1.0,0.0,1.0,0.0008570174648856093
374,4,0,0,4,0,0,1,1,0.052318078465569594,0,0,0.0,0,0.0,1.0,0.0,1.0,0.0010016059057979547
375,14,0,0,0,14,0,1,0,0.006667789561684771,1,9,0.007887817703768623,9,0.008174386920980926,1.0,0.0,1.0,0.0007361494218202361
376,17,0,0,0,17,0,1,1,0.02703100720721096,0,0,0.0,0,0.0,1.0,0.0,1.0,0.0009470886439509823
377,86,38,39,5,1,3,1,0,0.017725250627679316,10,2,0.0019821605550049554,0,0.0,1.0,0.0,1.0,0.0008790656578482477
378,2,0,0,1,1,0,1,1,0.0012231224980638444,0,2,0.0030165912518853697,1,0.002398081534772182,1.0,0.0,1.0,0.0008475691752089566
379,666,62,108,206,144,146,1,1,0.01224648389558474,2,22,0.014492753623188406,7,0.01580135440180587,1.0,0.0,1.0,0.0010954536564413695
380,9,0,0,1,8,0,1,1,0.05792358687259491,0,0,0.0,0,0.0,1.0,0.0,1.0,0.000808954290247227
381,20,0,0,0,0,20,1,1,0.010093122862778341,2,11,0.011802575107296138,11,0.013205282112845138,1.0,0.0,1.0,0.0008285340105076394
382,7,0,1,6,0,0,1,1,0.005424282382717917,1,3,0.005253940455341506,2,0.004329004329004329,1.0,0.0,1.0,0.0015737583630891707
383,303,55,42,83,49,74,1,1,0.019811309017265254,1,9,0.007908611599297012,3,0.010135135135135136,1.0,0.0,1.0,0.0010340669086417852
384,230,28,28,47,88,39,1,1,0.015418986530388824,0,2,0.003816793893129771,2,0.004329004329004329,1.0,0.0,1.0,0.0012560085490100363
385,57,5,9,13,8,22,1,0,0.016412323553150646,4,4,0.019417475728155338,4,0.027586206896551724,1.0,0.0,1.0,0.0007313918609741896
386,8,0,0,0,0,8,1,0,0.009163053290579986,0,0,0.0,0,0.0,1.0,0.0,1.0,0.0014264899186680732
387,666,62,108,206,144,146,1,0,0.012068942419939029,8,41,0.013662112629123625,7,0.01580135440180587,1.0,0.0,1.0,0.0010017783641188863
388,1268,234,259,286,215,274,1,0,0.015861686670702677,1,4,0.011869436201780416,4,0.015384615384615385,1.0,0.0,1.0,0.0005031933501374988
389,10,0,9,1,0,0,1,1,0.010396541233542677,1,1,0.002688172043010753,1,0.0030864197530864196,1.0,0.0,1.0,0.0005923037254795925
390,1,0,1,0,0,0,1,1,0.025341569256760274,0,0,0.0,0,0.0,1.0,0.0,1.0,0.0013243470982495838
391,144,19,29,31,7,58,1,1,0.006234305404622198,4,11,0.012235817575083427,11,0.013205282112845138,1.0,0.0,1.0,0.001077995641721974
392,726,147,100,141,135,203,1,0,0.011048507985030235,2,6,0.006493506493506494,5,0.0056947608200455585,1.0,0.0,1.0,0.0010718264156577186
393,666,62,108,206,144,146,1,0,0.008531930339442655,3,30,0.013793103448275862,7,0.01580135440180587,1.0,0.0,1.0,0.0007739579520308871
394,88,51,21,7,8,1,1,0,0.0376175135709416,3,5,0.045454545454545456,0,0.0,1.0,0.0,1.0,0.0006720917361599482
395,3,0,0,0,0,3,1,1,0.029381529573055388,0,0,0.0,0,0.0,1.0,0.0,1.0,0.001629854347574097
396,73,4,29,15,20,5,1,1,0.008999809642587762,4,28,0.009651844191658049,13,0.01463963963963964,1.0,0.0,1.0,0.000990629832413676
397,5,0,0,0,5,0,1,1,0.009943286029900487,1,2,0.005449591280653951,2,0.006230529595015576,1.0,0.0,1.0,0.0007922775137811196
398,1925,254,357,450,359,505,1,1,0.01651371696028821,2,4,0.009900990099009901,3,0.012195121951219513,1.0,0.0,1.0,0.001153277791525104
399,3510,405,651,988,649,817,1,0,0.005798071072552646,2,22,0.011005502751375688,13,0.01463963963963964,1.0,0.0,1.0,0.0015416284865548177
400,835,75,412,56,61,231,1,0,0.030269096612241437,13,14,0.010332103321033211,11,0.013205282112845138,1.0,0.0,1.0,0.0011659449488836589
401,82,0,27,51,3,1,1,0,0.02565742774222325,2,2,0.003766478342749529,2,0.004329004329004329,1.0,0.0,1.0,0.0008361516684472086
402,1593,194,260,389,285,465,1,0,0.01850653095825272,2,13,0.011054421768707483,0,0.0,1.0,0.0,1.0,0.0008482990199743552
403,51,0,13,33,4,1,1,1,0.017566315052981556,7,1,0.01098901098901099,0,0.0,1.0,0.0,1.0,0.0009278616831251334
